Microfono,Sample pico,Tiempo arribo (ms),Desfase respecto Mic1 (samples),Desfase respecto Mic1 (ms),Distancia real (m),Diferencia respecto nominal (cm),Montaje
1,875,19.841,0,0.0,2.5,0.0,Pie (referencia)
2,872,19.773,-3,-0.068,2.4767,-2.33,Pie
3,871,19.751,-4,-0.091,2.4689,-3.11,Barral
4,874,19.819,-1,-0.023,2.4922,-0.78,Barral
5,877,19.887,2,0.045,2.5156,1.56,Barral
6,872,19.773,-3,-0.068,2.4767,-2.33,Barral
7,879,19.932,4,0.091,2.5311,3.11,Barral
8,877,19.887,2,0.045,2.5156,1.56,Barral
9,874,19.819,-1,-0.023,2.4922,-0.78,Barral
10,873,19.796,-2,-0.045,2.4844,-1.56,Barral
11,874,19.819,-1,-0.023,2.4922,-0.78,Barral
12,875,19.841,0,0.0,2.5,0.0,Barral
13,879,19.932,4,0.091,2.5311,3.11,Barral
14,881,19.977,6,0.136,2.5467,4.67,Barral
15,874,19.819,-1,-0.023,2.4922,-0.78,Barral
16,876,19.864,1,0.023,2.5078,0.78,Barral
17,875,19.841,0,0.0,2.5,0.0,Barral
18,881,19.977,6,0.136,2.5467,4.67,Pie
19,879,19.932,4,0.091,2.5311,3.11,Pie
